section,object_type,object_name,definition
1_tables,column,profiles.id,uuid NOT NULL
1_tables,column,profiles.phone,text
1_tables,column,profiles.role,text NOT NULL
1_tables,column,profiles.updated_at,timestamp with time zone DEFAULT now() NOT NULL
1_tables,column,ratings.comment,text
1_tables,column,ratings.created_at,timestamp with time zone DEFAULT now() NOT NULL
1_tables,column,ratings.id,uuid DEFAULT uuid_generate_v4() NOT NULL
1_tables,column,ratings.job_id,uuid NOT NULL
1_tables,column,ratings.ratee_id,uuid NOT NULL
1_tables,column,ratings.rater_id,uuid NOT NULL
1_tables,column,ratings.stars,integer NOT NULL
1_tables,column,service_types.active,boolean DEFAULT true NOT NULL
1_tables,column,service_types.category_id,uuid NOT NULL
1_tables,column,service_types.id,uuid DEFAULT uuid_generate_v4() NOT NULL
1_tables,column,service_types.name,text NOT NULL
1_tables,column,service_types.slug,text NOT NULL
1_tables,column,worker_profiles.base_lat,numeric NOT NULL
1_tables,column,worker_profiles.base_lng,numeric NOT NULL
1_tables,column,worker_profiles.bio,text
1_tables,column,worker_profiles.created_at,timestamp with time zone DEFAULT now() NOT NULL
1_tables,column,worker_profiles.default_hourly_rate,numeric
1_tables,column,worker_profiles.location_name,text
1_tables,column,worker_profiles.photos,ARRAY DEFAULT '{}'::text[] NOT NULL
1_tables,column,worker_profiles.profile_id,uuid NOT NULL
1_tables,column,worker_profiles.radius_km,integer DEFAULT 10 NOT NULL
1_tables,column,worker_profiles.tools,ARRAY DEFAULT '{}'::text[] NOT NULL
1_tables,column,worker_profiles.updated_at,timestamp with time zone DEFAULT now() NOT NULL
1_tables,column,worker_service_types.service_type_id,uuid NOT NULL
1_tables,column,worker_service_types.worker_id,uuid NOT NULL
2_constraints,CHECK,help_acceptances.check_agreed_rate,CHECK (((status <> 'accepted'::text) OR (agreed_rate > (0)::numeric)))
2_constraints,CHECK,help_acceptances.help_acceptances_status_check,"CHECK ((status = ANY (ARRAY['pending'::text, 'accepted'::text, 'rejected'::text, 'cancelled'::text])))"
2_constraints,CHECK,help_requests.help_requests_status_check,"CHECK ((status = ANY (ARRAY['pending_approval'::text, 'open'::text, 'filled'::text, 'cancelled'::text])))"
2_constraints,CHECK,job_proposals.job_proposals_status_check,"CHECK ((status = ANY (ARRAY['pending'::text, 'accepted'::text, 'rejected'::text, 'superseded'::text])))"
2_constraints,CHECK,job_requests.job_requests_date_mode_check,"CHECK ((date_mode = ANY (ARRAY['fixed'::text, 'flexible'::text, 'availability'::text])))"
2_constraints,CHECK,job_requests.job_requests_reschedule_status_check,"CHECK ((reschedule_status = ANY (ARRAY['pending'::text, 'accepted'::text, 'rejected'::text])))"
2_constraints,CHECK,job_requests.job_requests_status_check,"CHECK ((status = ANY (ARRAY['open'::text, 'confirmed'::text, 'awaiting_confirmation'::text, 'completed'::text, 'no_response'::text, 'cancelled'::text])))"
2_constraints,CHECK,job_requests.job_requests_urgency_check,"CHECK ((urgency = ANY (ARRAY['normal'::text, 'urgent'::text])))"
2_constraints,CHECK,profiles.profiles_role_check,"CHECK ((role = ANY (ARRAY['client'::text, 'worker'::text])))"
2_constraints,CHECK,ratings.check_rater_not_ratee,CHECK ((rater_id <> ratee_id))
2_constraints,CHECK,ratings.ratings_stars_check,CHECK (((stars >= 1) AND (stars <= 5)))
2_constraints,FOREIGN KEY,help_acceptances.help_acceptances_help_request_id_fkey,FOREIGN KEY (help_request_id) REFERENCES help_requests(id) ON DELETE CASCADE
2_constraints,FOREIGN KEY,help_acceptances.help_acceptances_worker_id_fkey,FOREIGN KEY (worker_id) REFERENCES worker_profiles(profile_id) ON DELETE CASCADE
2_constraints,FOREIGN KEY,help_requests.help_requests_job_id_fkey,FOREIGN KEY (job_id) REFERENCES job_requests(id) ON DELETE CASCADE
2_constraints,FOREIGN KEY,help_requests.help_requests_proposal_id_fkey,FOREIGN KEY (proposal_id) REFERENCES job_proposals(id) ON DELETE CASCADE
2_constraints,FOREIGN KEY,job_proposals.job_proposals_job_id_fkey,FOREIGN KEY (job_id) REFERENCES job_requests(id) ON DELETE CASCADE
2_constraints,FOREIGN KEY,job_proposals.job_proposals_worker_id_fkey,FOREIGN KEY (worker_id) REFERENCES worker_profiles(profile_id) ON DELETE CASCADE
2_constraints,FOREIGN KEY,job_reports.job_reports_job_id_fkey,FOREIGN KEY (job_id) REFERENCES job_requests(id) ON DELETE CASCADE
2_constraints,FOREIGN KEY,job_reports.job_reports_reporter_id_fkey,FOREIGN KEY (reporter_id) REFERENCES profiles(id)
2_constraints,FOREIGN KEY,job_requests.fk_accepted_proposal,FOREIGN KEY (accepted_proposal_id) REFERENCES job_proposals(id)
2_constraints,FOREIGN KEY,job_requests.job_requests_cancelled_by_fkey,FOREIGN KEY (cancelled_by) REFERENCES profiles(id)
2_constraints,FOREIGN KEY,job_requests.job_requests_cancelled_worker_id_fkey,FOREIGN KEY (cancelled_worker_id) REFERENCES profiles(id)
2_constraints,FOREIGN KEY,job_requests.job_requests_client_id_fkey,FOREIGN KEY (client_id) REFERENCES profiles(id) ON DELETE CASCADE
2_constraints,FOREIGN KEY,job_requests.job_requests_reopened_from_fkey,FOREIGN KEY (reopened_from) REFERENCES job_requests(id)
2_constraints,FOREIGN KEY,job_requests.job_requests_reschedule_proposed_by_fkey,FOREIGN KEY (reschedule_proposed_by) REFERENCES profiles(id)
2_constraints,FOREIGN KEY,job_requests.job_requests_service_type_id_fkey,FOREIGN KEY (service_type_id) REFERENCES service_types(id)
2_constraints,FOREIGN KEY,notifications.notifications_user_id_fkey,FOREIGN KEY (user_id) REFERENCES profiles(id) ON DELETE CASCADE
2_constraints,FOREIGN KEY,profiles.profiles_id_fkey,FOREIGN KEY (id) REFERENCES auth.users(id) ON DELETE CASCADE
2_constraints,FOREIGN KEY,ratings.ratings_job_id_fkey,FOREIGN KEY (job_id) REFERENCES job_requests(id) ON DELETE CASCADE
2_constraints,FOREIGN KEY,ratings.ratings_ratee_id_fkey,FOREIGN KEY (ratee_id) REFERENCES profiles(id)
2_constraints,FOREIGN KEY,ratings.ratings_rater_id_fkey,FOREIGN KEY (rater_id) REFERENCES profiles(id)
2_constraints,FOREIGN KEY,service_types.service_types_category_id_fkey,FOREIGN KEY (category_id) REFERENCES service_categories(id) ON DELETE CASCADE
2_constraints,FOREIGN KEY,worker_profiles.worker_profiles_profile_id_fkey,FOREIGN KEY (profile_id) REFERENCES profiles(id) ON DELETE CASCADE
2_constraints,FOREIGN KEY,worker_service_types.worker_service_types_service_type_id_fkey,FOREIGN KEY (service_type_id) REFERENCES service_types(id) ON DELETE CASCADE
2_constraints,FOREIGN KEY,worker_service_types.worker_service_types_worker_id_fkey,FOREIGN KEY (worker_id) REFERENCES worker_profiles(profile_id) ON DELETE CASCADE
2_constraints,PRIMARY KEY,help_acceptances.help_acceptances_pkey,PRIMARY KEY (id)
2_constraints,PRIMARY KEY,help_requests.help_requests_pkey,PRIMARY KEY (id)
2_constraints,PRIMARY KEY,job_proposals.job_proposals_pkey,PRIMARY KEY (id)
2_constraints,PRIMARY KEY,job_reports.job_reports_pkey,PRIMARY KEY (id)
2_constraints,PRIMARY KEY,job_requests.job_requests_pkey,PRIMARY KEY (id)
2_constraints,PRIMARY KEY,notifications.notifications_pkey,PRIMARY KEY (id)
2_constraints,PRIMARY KEY,profiles.profiles_pkey,PRIMARY KEY (id)
2_constraints,PRIMARY KEY,ratings.ratings_pkey,PRIMARY KEY (id)
2_constraints,PRIMARY KEY,service_types.service_types_pkey,PRIMARY KEY (id)
2_constraints,PRIMARY KEY,worker_profiles.worker_profiles_pkey,PRIMARY KEY (profile_id)
2_constraints,PRIMARY KEY,worker_service_types.worker_service_types_pkey,"PRIMARY KEY (worker_id, service_type_id)"
2_constraints,UNIQUE,help_acceptances.help_acceptances_help_request_id_worker_id_key,"UNIQUE (help_request_id, worker_id)"
2_constraints,UNIQUE,ratings.ratings_job_id_rater_id_ratee_id_key,"UNIQUE (job_id, rater_id, ratee_id)"
2_constraints,UNIQUE,service_types.service_types_category_id_slug_key,"UNIQUE (category_id, slug)"
3_indexes,index,help_acceptances.help_acceptances_help_request_id_worker_id_key,"CREATE UNIQUE INDEX help_acceptances_help_request_id_worker_id_key ON public.help_acceptances USING btree (help_request_id, worker_id)"
3_indexes,index,help_acceptances.idx_help_acceptances_worker_id,CREATE INDEX idx_help_acceptances_worker_id ON public.help_acceptances USING btree (worker_id)
3_indexes,index,help_requests.idx_help_requests_job_id,CREATE INDEX idx_help_requests_job_id ON public.help_requests USING btree (job_id)
3_indexes,index,help_requests.idx_help_requests_proposal_id,CREATE INDEX idx_help_requests_proposal_id ON public.help_requests USING btree (proposal_id)
3_indexes,index,job_proposals.idx_one_proposal_per_worker_per_job,"CREATE UNIQUE INDEX idx_one_proposal_per_worker_per_job ON public.job_proposals USING btree (job_id, worker_id) WHERE (status = 'pending'::text)"
3_indexes,index,notifications.idx_notifications_user_created,"CREATE INDEX idx_notifications_user_created ON public.notifications USING btree (user_id, created_at DESC)"
3_indexes,index,ratings.ratings_job_id_rater_id_ratee_id_key,"CREATE UNIQUE INDEX ratings_job_id_rater_id_ratee_id_key ON public.ratings USING btree (job_id, rater_id, ratee_id)"
3_indexes,index,service_types.service_types_category_id_slug_key,"CREATE UNIQUE INDEX service_types_category_id_slug_key ON public.service_types USING btree (category_id, slug)"
4_rls_policies,policy_ALL,worker_service_types.Worker gere os seus serviços,USING: (auth.uid() = worker_id) | WITH_CHECK: none
4_rls_policies,policy_DELETE,job_photos.Client apaga fotos do seu job,"USING: (EXISTS ( SELECT 1
   FROM job_requests
  WHERE ((job_requests.id = job_photos.job_id) AND (job_requests.client_id = auth.uid())))) | WITH_CHECK: none"
4_rls_policies,policy_DELETE,objects.avatars: delete pelo próprio utilizador,"USING: ((bucket_id = 'avatars'::text) AND ((auth.uid())::text = regexp_replace(storage.filename(name), '\.[^.]+$'::text, ''::text))) | WITH_CHECK: none"
4_rls_policies,policy_DELETE,objects.job-photos: delete pelo dono,USING: ((bucket_id = 'job-photos'::text) AND ((auth.uid())::text = (storage.foldername(name))[1])) | WITH_CHECK: none
4_rls_policies,policy_INSERT,help_acceptances.Worker candidata-se a help_request,USING: none | WITH_CHECK: ((worker_id = auth.uid()) AND (status = 'pending'::text))
4_rls_policies,policy_INSERT,help_requests.Worker principal cria help requests,"USING: none | WITH_CHECK: (EXISTS ( SELECT 1
   FROM job_proposals
  WHERE ((job_proposals.id = help_requests.proposal_id) AND (job_proposals.worker_id = auth.uid()) AND (job_proposals.status = 'accepted'::text))))"
4_rls_policies,policy_INSERT,job_photos.Cliente adiciona fotos aos seus jobs,"USING: none | WITH_CHECK: (EXISTS ( SELECT 1
   FROM job_requests
  WHERE ((job_requests.id = job_photos.job_id) AND (job_requests.client_id = auth.uid()))))"
4_rls_policies,policy_INSERT,job_proposals.Worker envia proposta,USING: none | WITH_CHECK: (auth.uid() = worker_id)
4_rls_policies,policy_INSERT,job_reports.Participante pode reportar o seu job,"USING: none | WITH_CHECK: ((reporter_id = auth.uid()) AND ((EXISTS ( SELECT 1
   FROM job_requests
  WHERE ((job_requests.id = job_reports.job_id) AND (job_requests.client_id = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM (job_requests jr
     JOIN job_proposals jp ON ((jp.id = jr.accepted_proposal_id)))
  WHERE ((jr.id = job_reports.job_id) AND (jp.worker_id = auth.uid()))))))"
4_rls_policies,policy_INSERT,job_requests.Client cria jobs,USING: none | WITH_CHECK: (auth.uid() = client_id)
4_rls_policies,policy_INSERT,objects.Upload autenticado em job-photos,USING: none | WITH_CHECK: ((bucket_id = 'job-photos'::text) AND (auth.role() = 'authenticated'::text))
4_rls_policies,policy_INSERT,objects.Upload avatar autenticado,USING: none | WITH_CHECK: ((bucket_id = 'avatars'::text) AND (auth.role() = 'authenticated'::text))
4_rls_policies,policy_INSERT,profiles.Utilizador cria o seu perfil,USING: none | WITH_CHECK: (auth.uid() = id)
4_rls_policies,policy_INSERT,ratings.Utilizador cria a sua avaliação,USING: none | WITH_CHECK: (auth.uid() = rater_id)
4_rls_policies,policy_INSERT,worker_profiles.Worker cria o seu perfil,USING: none | WITH_CHECK: (auth.uid() = profile_id)
4_rls_policies,policy_SELECT,help_acceptances.Worker principal vê candidatos,USING: is_principal_worker_for_help_request(help_request_id) | WITH_CHECK: none
4_rls_policies,policy_SELECT,help_acceptances.Worker vê as suas candidaturas,USING: (worker_id = auth.uid()) | WITH_CHECK: none
4_rls_policies,policy_SELECT,help_requests.Cliente vê help requests dos seus jobs,"USING: (EXISTS ( SELECT 1
   FROM job_requests
  WHERE ((job_requests.id = help_requests.job_id) AND (job_requests.client_id = auth.uid())))) | WITH_CHECK: none"
4_rls_policies,policy_SELECT,help_requests.Worker candidato vê help requests onde se candidatou,"USING: (EXISTS ( SELECT 1
   FROM help_acceptances
  WHERE ((help_acceptances.help_request_id = help_requests.id) AND (help_acceptances.worker_id = auth.uid())))) | WITH_CHECK: none"
4_rls_policies,policy_SELECT,help_requests.Worker principal vê os seus help requests,"USING: (EXISTS ( SELECT 1
   FROM job_proposals
  WHERE ((job_proposals.id = help_requests.proposal_id) AND (job_proposals.worker_id = auth.uid())))) | WITH_CHECK: none"
4_rls_policies,policy_SELECT,job_photos.Ver fotos de jobs proprios ou abertos,"USING: (EXISTS ( SELECT 1
   FROM job_requests
  WHERE ((job_requests.id = job_photos.job_id) AND ((job_requests.client_id = auth.uid()) OR (job_requests.status = 'open'::text))))) | WITH_CHECK: none"
4_rls_policies,policy_SELECT,job_proposals.Client vê propostas dos seus jobs,"USING: (EXISTS ( SELECT 1
   FROM job_requests
  WHERE ((job_requests.id = job_proposals.job_id) AND (job_requests.client_id = auth.uid())))) | WITH_CHECK: none"
4_rls_policies,policy_SELECT,job_proposals.Worker vê as suas propostas,USING: (auth.uid() = worker_id) | WITH_CHECK: none
4_rls_policies,policy_SELECT,job_reports.Utilizador vê os seus reports,USING: (reporter_id = auth.uid()) | WITH_CHECK: none
4_rls_policies,policy_SELECT,job_requests.Client vê os seus jobs,USING: (auth.uid() = client_id) | WITH_CHECK: none
4_rls_policies,policy_SELECT,job_requests.Worker ve jobs onde tem proposta,USING: worker_has_proposal_for_job(id) | WITH_CHECK: none
4_rls_policies,policy_SELECT,job_requests.Worker vê jobs abertos,USING: ((status = 'open'::text) AND (auth.role() = 'authenticated'::text)) | WITH_CHECK: none
4_rls_policies,policy_SELECT,notifications.Utilizador vê as suas notificações,USING: (auth.uid() = user_id) | WITH_CHECK: none
4_rls_policies,policy_SELECT,objects.Leitura publica de job-photos,USING: (bucket_id = 'job-photos'::text) | WITH_CHECK: none
4_rls_policies,policy_SELECT,objects.Leitura pública de avatars,USING: (bucket_id = 'avatars'::text) | WITH_CHECK: none
4_rls_policies,policy_SELECT,profiles.Cliente ve perfil de worker com job confirmado,USING: ((role = 'worker'::text) AND client_has_confirmed_job_with_worker(id)) | WITH_CHECK: none
4_rls_policies,policy_SELECT,profiles.Utilizador vê o seu perfil,USING: (auth.uid() = id) | WITH_CHECK: none
4_rls_policies,policy_SELECT,profiles.Worker ve perfil de cliente com job confirmado,"USING: (EXISTS ( SELECT 1
   FROM (job_proposals jp
     JOIN job_requests jr ON ((jr.id = jp.job_id)))
  WHERE ((jp.worker_id = auth.uid()) AND (jr.client_id = profiles.id) AND (jp.status = 'accepted'::text)))) | WITH_CHECK: none"
4_rls_policies,policy_SELECT,ratings.Leitura pública de avaliações,USING: true | WITH_CHECK: none
4_rls_policies,policy_SELECT,service_categories.Leitura pública de categorias,USING: true | WITH_CHECK: none
4_rls_policies,policy_SELECT,service_types.Leitura pública de tipos de serviço,USING: true | WITH_CHECK: none
4_rls_policies,policy_SELECT,worker_profiles.Worker lê o seu próprio perfil,USING: (profile_id = auth.uid()) | WITH_CHECK: none
4_rls_policies,policy_SELECT,worker_service_types.Qualquer autenticado vê serviços de workers,USING: (auth.role() = 'authenticated'::text) | WITH_CHECK: none
4_rls_policies,policy_UPDATE,help_acceptances.Worker cancela ajuda,USING: (auth.uid() = worker_id) | WITH_CHECK: ((auth.uid() = worker_id) AND (status = 'cancelled'::text))
4_rls_policies,policy_UPDATE,help_acceptances.Worker principal decide candidatos,USING: is_principal_worker_for_help_request(help_request_id) | WITH_CHECK: none
4_rls_policies,policy_UPDATE,job_proposals.Worker atualiza as suas propostas,USING: (auth.uid() = worker_id) | WITH_CHECK: ((auth.uid() = worker_id) AND (status = 'superseded'::text))
4_rls_policies,policy_UPDATE,job_requests.Client atualiza os seus jobs,USING: (auth.uid() = client_id) | WITH_CHECK: none
4_rls_policies,policy_UPDATE,job_requests.Cliente cancela os seus jobs,USING: (auth.uid() = client_id) | WITH_CHECK: none
4_rls_policies,policy_UPDATE,notifications.Utilizador marca as suas notificações como lidas,USING: (auth.uid() = user_id) | WITH_CHECK: none
4_rls_policies,policy_UPDATE,objects.avatars: update pelo próprio utilizador,"USING: ((bucket_id = 'avatars'::text) AND ((auth.uid())::text = regexp_replace(storage.filename(name), '\.[^.]+$'::text, ''::text))) | WITH_CHECK: ((bucket_id = 'avatars'::text) AND ((auth.uid())::text = regexp_replace(storage.filename(name), '\.[^.]+$'::text, ''::text)))"
4_rls_policies,policy_UPDATE,profiles.Utilizador atualiza o seu perfil,USING: (auth.uid() = id) | WITH_CHECK: none
4_rls_policies,policy_UPDATE,worker_profiles.Worker atualiza o seu perfil,USING: (auth.uid() = profile_id) | WITH_CHECK: none
5_functions,security_definer,"accept_help_candidate(p_help_acceptance_id uuid, p_agreed_rate numeric)","CREATE OR REPLACE FUNCTION public.accept_help_candidate(p_help_acceptance_id uuid, p_agreed_rate numeric)
 RETURNS void
 LANGUAGE plpgsql
 SECURITY DEFINER
 SET search_path TO 'public'
AS $function$
DECLARE
  v_principal_worker_id uuid;
  v_helper_worker_id    uuid;
  v_help_request_id     uuid;
  v_slots_needed        int;
  v_accepted_count      int;
  v_current_status      text;
  v_remaining_candidate RECORD;
BEGIN
  SELECT jp.worker_id, ha.worker_id, ha.help_request_id,
         hr.slots_needed, ha.status
  INTO   v_principal_worker_id, v_helper_worker_id, v_help_request_id,
         v_slots_needed, v_current_status
  FROM   help_acceptances ha
  JOIN   help_requests    hr ON hr.id = ha.help_request_id
  JOIN   job_proposals    jp ON jp.id = hr.proposal_id
  WHERE  ha.id = p_help_acceptance_id
  FOR UPDATE OF ha;

  IF NOT FOUND THEN
    RAISE EXCEPTION 'Candidatura não encontrada.';
  END IF;

  IF v_principal_worker_id <> auth.uid() THEN
    RAISE EXCEPTION 'Apenas o worker principal pode aceitar candidatos.';
  END IF;

  IF v_current_status <> 'pending' THEN
    RAISE EXCEPTION
      'Candidatura não está em estado pending (estado atual: %).', v_current_status;
  END IF;

  UPDATE help_acceptances
  SET    status = 'accepted', agreed_rate = p_agreed_rate
  WHERE  id = p_help_acceptance_id;

  SELECT COUNT(*) INTO v_accepted_count
  FROM   help_acceptances
  WHERE  help_request_id = v_help_request_id
    AND  status = 'accepted';

  IF v_accepted_count >= v_slots_needed THEN
    UPDATE help_requests SET status = 'filled' WHERE id = v_help_request_id;

    FOR v_remaining_candidate IN
      SELECT id, worker_id
      FROM   help_acceptances
      WHERE  help_request_id = v_help_request_id
        AND  status = 'pending'
        AND  id <> p_help_acceptance_id
    LOOP
      UPDATE help_acceptances SET status = 'rejected' WHERE id = v_remaining_candidate.id;
      INSERT INTO notifications (user_id, type, title, body, related_id, related_type)
      VALUES (v_remaining_candidate.worker_id, 'help_rejected',
              'Candidatura não selecionada',
              'Todas as vagas foram preenchidas.',
              v_help_request_id, 'help_request');
    END LOOP;
  END IF;

  INSERT INTO notifications (user_id, type, title, body, related_id, related_type)
  VALUES (
    v_helper_worker_id,
    'help_accepted',
    'Candidatura aceite!',
    'Foste selecionado para fazer parte da equipa.',
    v_help_request_id,
    'help_request'
  );
END;
$function$
"
5_functions,security_definer,"accept_proposal(p_proposal_id uuid, p_job_id uuid)","CREATE OR REPLACE FUNCTION public.accept_proposal(p_proposal_id uuid, p_job_id uuid)
 RETURNS void
 LANGUAGE plpgsql
 SECURITY DEFINER
 SET search_path TO 'public'
AS $function$
DECLARE
  v_worker_id          uuid;
  v_scheduled_date     date;
  v_scheduled_time     time;
  v_scheduled_flexible boolean;
  v_people_needed      int;
  v_equipment_required boolean;
BEGIN
  SELECT worker_id, scheduled_date, scheduled_time, scheduled_flexible,
         people_needed, helpers_equipment_required
  INTO   v_worker_id, v_scheduled_date, v_scheduled_time, v_scheduled_flexible,
         v_people_needed, v_equipment_required
  FROM   job_proposals
  WHERE  id = p_proposal_id AND job_id = p_job_id AND status = 'pending'
  FOR UPDATE;

  IF NOT FOUND THEN
    RAISE EXCEPTION 'Proposta não encontrada ou já processada.';
  END IF;

  UPDATE job_proposals
  SET status = 'accepted', updated_at = now()
  WHERE id = p_proposal_id;

  WITH rejected AS (
    UPDATE job_proposals
    SET status = 'rejected', updated_at = now()
    WHERE job_id = p_job_id
      AND id    <> p_proposal_id
      AND status = 'pending'
    RETURNING worker_id
  )
  INSERT INTO notifications (user_id, type, title, body, related_id, related_type)
  SELECT
    worker_id,
    'proposal_rejected',
    'Proposta não selecionada',
    'O cliente escolheu outra proposta.',
    p_job_id,
    'job_request'
  FROM rejected;

  UPDATE job_requests
  SET status               = 'confirmed',
      accepted_proposal_id = p_proposal_id,
      confirmed_date       = v_scheduled_date,
      confirmed_time       = v_scheduled_time,
      confirmed_flexible   = COALESCE(v_scheduled_flexible, false),
      proposal_count       = 0,
      updated_at           = now()
  WHERE id = p_job_id;

  IF v_people_needed > 1 THEN
    INSERT INTO help_requests (
      job_id, proposal_id, slots_needed,
      equipment_required, created_post_confirmation, status
    ) VALUES (
      p_job_id, p_proposal_id, v_people_needed - 1,
      COALESCE(v_equipment_required, false), false, 'open'
    );
  END IF;

  INSERT INTO notifications (user_id, type, title, body, related_id, related_type)
  VALUES (
    v_worker_id,
    'proposal_accepted',
    'Proposta aceite!',
    'O cliente aceitou a sua proposta.',
    p_job_id,
    'job_request'
  );
END;
$function$
"
